h3_index,lat,lon,reisezeit_stunden
8481689ffffffff,-9.311364897439233,-52.486719366184865,40.52116012573242
8443293ffffffff,33.08489398675349,57.13474841439474,16.672561645507812
8440d83ffffffff,34.86819424320967,101.3701321464495,17.922025680541992
84bcc81ffffffff,-26.08955080637568,25.07574036116723,17.158597946166992
843f695ffffffff,36.37813555170576,32.41264740615552,8.072127342224121
843eb53ffffffff,23.00863798012166,16.272011867735994,44.53993606567383
843eebdffffffff,21.81694841109257,29.902607227543296,25.050180435180664
849d5c3ffffffff,-20.22000764976641,141.5396992580178,28.100217819213867
8404835ffffffff,65.71068840457602,143.19559553943338,18.310680389404297
842815dffffffff,40.074466549108976,-121.95429382983414,15.421480178833008
84eea63ffffffff,-73.80691478557517,-9.167200811082134,28.717504501342773
84f2147ffffffff,-81.68204201403886,-152.68588962701284,25.725563049316406
84b3523ffffffff,-24.4511147678428,-67.2908085595616,25.262901306152344
84674adffffffff,9.249925630065352,-67.56306531120693,24.01749038696289
84a882dffffffff,-20.419259726129425,-40.994066149747646,17.311391830444336
8481745ffffffff,-11.950603435444894,-46.89997918794687,20.778661727905273
84b26a3ffffffff,-30.36068620062814,-61.763958451012265,22.366857528686523
84961d3ffffffff,-10.957641695231466,27.50581238057586,18.38821029663086
8426e8bffffffff,35.95653743677097,-94.57400004635332,13.41036605834961
8448887ffffffff,30.898387204467895,-101.69554382422393,15.877609252929688
84f06e3ffffffff,-77.63015536293955,25.377877999462516,30.47577667236328
844c8a5ffffffff,19.77647193066221,-73.24838430286471,17.161144256591797
84a804dffffffff,-25.398345304227842,-49.52933692607482,16.75016212463379
8424c57ffffffff,39.476873353100935,107.27894066850921,16.00812530517578
84f1227ffffffff,-83.56492936323477,134.01246006493486,31.428714752197266
84531edffffffff,23.780725801592393,39.492500552945444,10.654178619384766
8424c41ffffffff,39.76060782061902,105.92522655351982,19.69500160217285
84a6305ffffffff,-24.376876749408815,115.16443187292461,29.350811004638672
8464315ffffffff,9.723094223095993,98.40896801524075,18.442113876342773
8431167ffffffff,43.15241698056,116.17310508065732,15.482943534851074
840a995ffffffff,57.92345025838208,105.70774948252743,17.540342330932617
84efb55ffffffff,-80.3420420507369,12.283908510948082,30.47577667236328
84ac911ffffffff,-17.398339334402518,17.179611983975274,16.198760986328125
8420235ffffffff,47.43792734191649,69.90233468289925,21.700098037719727
8419435ffffffff,52.83832754582589,-0.9874220544607037,1.4409842491149902
842431dffffffff,45.817506077822465,98.59283997842745,18.38878059387207
8426c69ffffffff,36.99266837581152,-99.64498840113082,15.237433433532715
8465099ffffffff,3.5831050967656752,97.90683117355245,27.803600311279297
8465b3bffffffff,12.060923828479469,106.29813256904113,19.54109764099121
84a8a99ffffffff,-20.88276426312724,-46.701012376459005,17.631433486938477
8440109ffffffff,28.52094526243425,111.24587125254676,16.386110305786133
84ef945ffffffff,-77.28835992934837,13.66967224078052,30.47577667236328
842a9a7ffffffff,37.17384610300286,-84.31041986225448,13.227452278137207
846a5a5ffffffff,3.1777509284170717,33.50493590200991,15.596563339233398
843e1c7ffffffff,25.68804141520481,23.023238132238497,21.660221099853516
84202d3ffffffff,50.14670749344232,74.13177647544144,10.964043617248535
84310b9ffffffff,42.68108360467603,123.5741036384724,15.792043685913086
8452011ffffffff,18.924506834947096,44.71604760429518,21.250415802001953
848e693ffffffff,-15.367262115420424,-72.67030990705629,23.15631866455078
843888dffffffff,26.059505585045827,-0.7809733395540122,23.330408096313477
840a23bffffffff,65.36055323122704,84.84554706465666,36.47114562988281
8438325ffffffff,32.68645982982357,-4.541135501332778,7.0193400382995605
8472dbdffffffff,-5.501113052857849,144.507197056833,26.550683975219727
84b9849ffffffff,-30.807753130226462,139.5466254681723,30.367435455322266
8411867ffffffff,53.079862764629986,36.39036295446908,8.407984733581543
848032dffffffff,-6.6922841699538935,-38.68446978266332,17.214725494384766
843f809ffffffff,28.593205883583806,13.597598941400927,13.880860328674316
8443705ffffffff,32.72519785135184,58.836889045621184,13.589653968811035
8496dc5ffffffff,-3.6315706728111916,25.76154131791376,16.540315628051758
8420421ffffffff,48.11050839848156,82.43337743177067,15.63763427734375
8430965ffffffff,31.73440218845834,116.49282291943793,16.08090591430664
840f13bffffffff,67.46699262341102,-75.98702109170816,65.98235321044922
842d2d3ffffffff,45.46862761867494,34.02145991561813,8.18784236907959
84bcc33ffffffff,-26.088311949388828,27.18378778419405,14.620930671691895
8425429ffffffff,51.29066962601866,105.5488111818088,14.93047046661377
8442727ffffffff,28.098467564093113,67.52363907396476,13.334834098815918
843fb27ffffffff,27.54858156148567,9.946316264677767,10.651433944702148
840e823ffffffff,58.051275318960585,-94.84275555447458,23.69297981262207
8497825ffffffff,-12.233985065998057,38.41091236909029,20.862316131591797
8412319ffffffff,60.8408709110614,-121.69553051838629,21.891197204589844
8454731ffffffff,13.455883488564963,-9.40920080665434,12.861923217773438
84432c9ffffffff,33.049781238575534,54.030280715945096,19.92914581298828
841f1a3ffffffff,51.04651425019041,12.909776983974707,3.8677356243133545
8438cabffffffff,26.118091441138876,7.8146989810905305,20.40690040588379
848e62dffffffff,-12.029835827571194,-77.07386871947742,17.118587493896484
