iata_code,name,lat,lon,reisezeit_stunden,anzahl_umstiege
NST,Nakhon Si Thammarat Airport,8.539620399475098,99.9447021484375,19.73,2
TPP,Cadete FAP Guillermo Del Castillo Paredes Airport,-6.508739948272705,-76.37319946289062,19.73,2
CIX,Capitan FAP Jose A Quinones Gonzales International Airport,-6.787479877471924,-79.8281021118164,19.78,2
ITO,Hilo International Airport,19.721399307250977,-155.04800415039062,19.78,1
RBR,Plácido de Castro Airport,-9.868888854980469,-67.89805603027344,19.79,2
WMR,Mananara Nord Airport,-16.16390037536621,49.773799896240234,19.8,3
TFF,Tefé Airport,-3.38294005394,-64.7240982056,19.83,3
UPG,Hasanuddin International Airport,-5.061629772186279,119.5540008544922,19.85,1
TST,Trang Airport,7.508739948272705,99.6166000366211,19.88,2
BTH,Hang Nadim International Airport,1.12102997303,104.119003296,19.88,2
MGZ,Myeik Airport,12.439800262451172,98.62149810791016,19.89,3
BRW,Wiley Post Will Rogers Memorial Airport,71.285402,-156.766008,19.91,2
AQP,Rodríguez Ballón International Airport,-16.3411006927,-71.5830993652,19.91,2
SNP,St Paul Island Airport,57.16730117797851,-170.22000122070312,19.99,2
KET,Kengtung Airport,21.301599502563477,99.63600158691406,19.99,3
STG,St George Airport,56.5783004761,-169.662002563,20.0,2
BVB,Atlas Brasil Cantanhede Airport,2.84138894081,-60.6922225952,20.0,3
JUL,Inca Manco Capac International Airport,-15.467100143432615,-70.158203125,20.01,2
NAW,Narathiwat Airport,6.5199198722839355,101.74299621582033,20.02,2
PIU,Capitán FAP Guillermo Concha Iberico International Airport,-5.20574998856,-80.61640167239999,20.02,2
PEM,Padre Aldamiz International Airport,-12.6135997772,-69.2285995483,20.03,2
SCY,San Cristóbal Airport,-0.910206,-89.617401,20.05,2
BVH,Brigadeiro Camarão Airport,-12.694399833679,-60.098300933838,20.08,2
GPS,Seymour Airport,-0.4537580013275146,-90.26589965820312,20.15,2
TCQ,Coronel FAP Carlos Ciriani Santa Rosa International Airport,-18.0533008575,-70.2758026123,20.2,2
AFL,Piloto Osvaldo Marques Dias Airport,-9.8663892746,-56.1049995422,20.21,2
TBP,Capitan FAP Pedro Canga Rodriguez Airport,-3.55253005027771,-80.38140106201172,20.22,2
PDP,Capitan Corbeta CA Curbelo International Airport,-34.855098724365234,-55.09429931640625,20.24,2
CGM,Camiguin Airport,9.253520011901855,124.70700073242188,20.26,2
KTE,Kerteh Airport,4.537220001220703,103.427001953125,20.27,2
KOO,Kongolo Airport,-5.39444,26.99,20.28,4
PGK,Pangkal Pinang (Depati Amir) Airport,-2.16219997406,106.138999939,20.29,2
MZV,Mulu Airport,4.048329830169678,114.80500030517578,20.31,2
PRA,General Urquiza Airport,-31.7948,-60.4804,20.31,2
OAL,Cacoal Airport,-11.496,-61.4508,20.33,2
MDQ,Ástor Piazzola International Airport,-37.9342,-57.5733,20.34,2
SFN,Sauce Viejo Airport,-31.7117,-60.8117,20.34,2
IAO,Siargao Airport,9.8591,126.014,20.37,2
FTE,El Calafate Airport,-50.2803,-72.053101,20.37,1
BNC,Beni Airport,0.575,29.4739,20.37,4
TKG,Radin Inten II (Branti) Airport,-5.240556,105.175556,20.39,2
LPD,La Pedrera Airport,-1.32861,-69.5797,20.4,3
KUD,Kudat Airport,6.922500133514404,116.83599853515624,20.41,2
LWY,Lawas Airport,4.84917,115.407997,20.42,2
MDC,Sam Ratulangi Airport,1.5492600202560425,124.9260025024414,20.42,1
JPR,Ji-Paraná Airport,-10.8708000183,-61.8465003967,20.42,2
YAT,Attawapiskat Airport,52.9275016784668,-82.43190002441406,20.45,5
FUO,Foshan Shadi Airport,23.083299636799996,113.069999695,20.55,2
TBT,Tabatinga Airport,-4.2556700706482,-69.93579864502,20.56,3
BHI,Comandante Espora Airport,-38.725,-62.1693,20.57,2
LDU,Lahad Datu Airport,5.032249927520752,118.3239974975586,20.58,2
RSA,Santa Rosa Airport,-36.588299,-64.275703,20.58,2
PBU,Putao Airport,27.32990074157715,97.42630004882812,20.62,3
JOL,Jolo Airport,6.0536699295043945,121.01100158691406,20.63,2
PNK,Supadio Airport,-0.1507109999656677,109.40399932861328,20.65,2
TUR,Tucuruí Airport,-3.7860100269318,-49.72029876709,20.67,3
MKM,Mukah Airport,2.90639,112.080002,20.7,2
TNW,Jumandy Airport,-1.059722,-77.583333,20.75,3
USH,Malvinas Argentinas Airport,-54.8433,-68.2958,20.76,1
OIA,Ourilândia do Norte Airport,-6.763100147250001,-51.0499000549,20.77,3
ANF,Andrés Sabella Gálvez International Airport,-23.444501,-70.445099,20.77,2
LUQ,Brigadier Mayor D Cesar Raul Ojeda Airport,-33.2732009888,-66.3563995361,20.79,2
DIL,Presidente Nicolau Lobato International Airport,-8.54640007019,125.526000977,20.79,1
HNM,Hana Airport,20.79560089111328,-156.01400756835938,20.82,2
RDC,Redenção Airport,-8.033289909362793,-49.97990036010742,20.83,3
LNY,Lanai Airport,20.785600662231445,-156.9510040283203,20.83,2
TDD,Teniente Av. Jorge Henrich Arauz Airport,-14.8186998367,-64.9179992676,20.83,2
ADK,Adak Airport,51.87799835205078,-176.64599609375,20.84,2
RES,Resistencia International Airport,-27.45,-59.0561,20.85,2
